x,y
505,2.09
515,1.8
525,1.65
535,1.46
545,0
555,3.22
565,1.13
575,1
585,0
595,0
605,0
615,1.35
625,1.62
635,0
645,0
655,0
665,0
675,0
685,7.86
695,13.27
705,0
715,0
725,0
735,0
745,12.02
755,12.81
765,11.11
775,0
785,0
795,0
805,0
815,1.51
825,9.6
835,0
845,0
855,0
865,0
875,0
885,3.9
895,1.03
905,1.78
915,0
925,0
935,0
945,0
955,16.46
965,3.53
975,6.62
985,0
995,0
1005,0
1015,0
1025,6.58
1035,2.43
1045,0
1055,0
1065,0
1075,0
1085,0
1095,0
1105,0
1115,0
1125,0
1135,0
1145,0
1155,0
1165,12.61
1175,2.9
1185,0
1195,0
1205,0
1215,0
1225,12.77
1235,5.08
1245,7.32
1255,0
1265,0
1275,0
1285,0
1295,6.39
1305,5.36
1315,1.01
1325,0
1335,0
1345,0
1355,0
1365,0
1375,2.3
1385,14.54
1395,0
1405,0
1415,0
1425,0
1435,1.98
1445,0
1455,2.94
1465,0
1475,0
1485,0
1495,0
1505,5.38
1515,5.31
1525,1.05
1535,0
1545,0
1555,0
1565,0
1575,0
1585,6.56
