x,y
605,0
615,3.06
625,2.75
635,4.1
645,0
655,0
665,0
675,0
685,0
695,6.11
705,0
715,0
725,0
735,0
745,0
755,1.5
765,3.03
775,0
785,0
795,0
805,0
815,0
825,0
835,5.94
845,0
855,0
865,0
875,0
885,1.55
895,4.2
905,1.43
915,0
925,0
935,0
945,0
955,9.19
965,13.25
975,0
985,0
995,0
1005,0
1015,0
1025,0
1035,4.65
1045,0
1055,0
1065,0
1075,0
1085,0
1095,0
1105,8.05
1115,11.6
1125,0
1135,0
1145,0
1155,0
1165,11.41
1175,69.15
1185,17.14
1195,0
1205,0
1215,0
1225,0
1235,9.93
1245,14.35
1255,0
1265,0
1275,0
1285,0
1295,0
1305,2.08
1315,1.75
1325,0
1335,0
1345,0
1355,0
1365,1.34
1375,3.91
1385,1.25
1395,0
1405,0
1415,0
1425,0
1435,3.28
1445,2.58
1455,0
1465,0
1475,0
1485,0
1495,0
1505,1.76
1515,2.43
1525,1.08
1535,0
1545,0
1555,0
1565,0
1575,8.84
1585,1.74
